usia,pekerjaan,status_pernikahan,pendidikan,saldo_rekening,kategori_saldo,punya_kpr,punya_pinjaman,pernah_gagal_bayar,metode_penawaran,periode_penawaran,frekuensi_kontak,durasi_interaksi_detik,pernah_ditawari_sebelumnya,hasil_penawaran_sebelumnya,respon_penawaran_deposito,lama_nasabah_tahun,segmen_nasabah
64,pns,lajang,s1,34886049,menengah,tidak,tidak,tidak,telepon,Jul,4,227,tidak,tidak_ada,0,4,existing
61,buruh,lajang,smp,10316419,menengah,ya,ya,tidak,email,Nov,1,40,tidak,tidak_ada,0,4,existing
20,pelajar,lajang,sma,1011801,rendah,tidak,tidak,tidak,telepon,Jun,2,43,ya,gagal,0,0,baru
54,karyawan,menikah,sd,8689291,menengah,tidak,tidak,tidak,whatsapp,Jul,3,117,tidak,tidak_ada,0,6,loyal
24,pns,lajang,smp,39022185,menengah,tidak,tidak,tidak,email,Jul,3,35,tidak,tidak_ada,0,6,loyal
38,pns,menikah,sma,12893146,menengah,tidak,tidak,tidak,telepon,Apr,1,71,tidak,tidak_ada,0,9,loyal
26,karyawan,lajang,s1,14126381,menengah,tidak,ya,tidak,whatsapp,Jun,1,321,ya,gagal,1,11,loyal
56,wiraswasta,cerai,d3,52624066,tinggi,ya,ya,tidak,telepon,Jan,6,1613,tidak,tidak_ada,0,4,existing
35,karyawan,lajang,s2,13271057,menengah,tidak,tidak,tidak,whatsapp,Des,3,256,tidak,tidak_ada,0,16,loyal
21,pns,lajang,sd,11656194,menengah,ya,tidak,tidak,telepon,Jan,2,378,ya,gagal,0,6,loyal
42,karyawan,cerai,sma,11617071,menengah,tidak,ya,tidak,email,Nov,4,33,ya,gagal,0,8,loyal
31,wiraswasta,menikah,smp,11021654,menengah,tidak,ya,tidak,telepon,Des,2,674,tidak,tidak_ada,0,8,loyal
26,tidak_bekerja,lajang,sd,3234361,rendah,ya,tidak,tidak,whatsapp,Feb,3,78,tidak,tidak_ada,0,15,loyal
43,buruh,menikah,sma,1335244,rendah,ya,tidak,tidak,email,Mei,2,61,tidak,tidak_ada,0,10,loyal
19,tidak_bekerja,lajang,sma,1865608,rendah,tidak,tidak,tidak,email,Jul,2,26,ya,gagal,0,4,existing
37,tidak_bekerja,menikah,sma,5294241,menengah,tidak,ya,tidak,whatsapp,Agu,5,219,tidak,tidak_ada,0,10,loyal
45,karyawan,menikah,smp,23328453,menengah,tidak,tidak,tidak,whatsapp,Jan,2,93,ya,gagal,0,15,loyal
64,pelajar,menikah,sma,6033474,menengah,tidak,ya,tidak,email,Nov,4,197,tidak,tidak_ada,0,13,loyal
24,wiraswasta,lajang,s1,38704985,menengah,tidak,ya,tidak,whatsapp,Agu,3,151,ya,gagal,0,0,baru
61,buruh,menikah,d3,9493640,menengah,tidak,tidak,tidak,telepon,Nov,2,550,ya,gagal,0,0,baru
25,karyawan,menikah,s1,12907009,menengah,ya,tidak,tidak,email,Okt,4,58,tidak,tidak_ada,0,10,loyal
64,tidak_bekerja,lajang,s1,2828663,rendah,ya,ya,tidak,whatsapp,Jan,2,138,tidak,tidak_ada,0,19,loyal
52,wiraswasta,menikah,sma,38195850,menengah,tidak,tidak,tidak,email,Okt,5,85,tidak,tidak_ada,0,8,loyal
31,buruh,menikah,d3,6473562,menengah,tidak,tidak,tidak,whatsapp,Agu,2,24,ya,gagal,0,5,loyal
34,karyawan,menikah,s1,10058809,menengah,tidak,tidak,tidak,whatsapp,Jan,1,128,ya,gagal,0,8,loyal
53,karyawan,lajang,smp,7915574,menengah,tidak,tidak,tidak,whatsapp,Jul,3,206,ya,gagal,0,6,loyal
57,pns,lajang,s1,19007547,menengah,tidak,tidak,tidak,telepon,Des,2,139,ya,berhasil,0,2,existing
21,karyawan,menikah,sma,33702497,menengah,ya,ya,tidak,telepon,Feb,2,117,tidak,tidak_ada,0,3,existing
19,buruh,lajang,sd,4649493,rendah,tidak,ya,tidak,telepon,Feb,2,166,tidak,tidak_ada,0,3,existing
23,karyawan,lajang,d3,12559822,menengah,tidak,ya,tidak,telepon,Des,3,158,tidak,tidak_ada,0,8,loyal
59,pns,menikah,d3,28342637,menengah,tidak,tidak,tidak,telepon,Feb,1,637,ya,berhasil,1,13,loyal
21,wiraswasta,lajang,sma,26010134,menengah,tidak,tidak,tidak,whatsapp,Jun,3,493,tidak,tidak_ada,1,0,baru
46,wiraswasta,menikah,smp,27875307,menengah,tidak,ya,ya,whatsapp,Des,3,172,tidak,tidak_ada,0,7,loyal
35,pns,menikah,sma,15233132,menengah,tidak,ya,tidak,telepon,Mar,4,236,tidak,tidak_ada,0,7,loyal
43,karyawan,menikah,sma,9872187,menengah,tidak,tidak,tidak,email,Feb,2,35,tidak,tidak_ada,0,18,loyal
61,karyawan,menikah,s2,45988302,menengah,tidak,tidak,tidak,whatsapp,Apr,5,391,tidak,tidak_ada,0,13,loyal
51,karyawan,cerai,s1,11534480,menengah,tidak,tidak,tidak,email,Des,2,108,tidak,tidak_ada,0,5,loyal
27,wiraswasta,menikah,s1,83983455,tinggi,tidak,tidak,tidak,email,Agu,4,93,tidak,tidak_ada,0,8,loyal
53,wiraswasta,lajang,smp,27209696,menengah,ya,ya,tidak,whatsapp,Feb,2,181,tidak,tidak_ada,0,9,loyal
31,pns,lajang,,15659659,menengah,tidak,tidak,tidak,whatsapp,Okt,4,223,tidak,tidak_ada,0,10,loyal
48,wiraswasta,menikah,sma,47438385,menengah,tidak,tidak,tidak,telepon,Mei,2,168,ya,gagal,0,16,loyal
32,wiraswasta,menikah,sma,9660243,menengah,tidak,tidak,tidak,email,Jan,2,125,tidak,tidak_ada,0,8,loyal
25,wiraswasta,lajang,sd,30139637,menengah,tidak,tidak,tidak,whatsapp,Sep,3,99,tidak,tidak_ada,0,2,existing
31,karyawan,menikah,sma,15069418,menengah,ya,ya,tidak,whatsapp,Sep,1,357,ya,berhasil,0,9,loyal
40,karyawan,lajang,sma,21847547,menengah,ya,ya,tidak,telepon,Jun,2,236,ya,gagal,0,2,existing
57,tidak_bekerja,menikah,sma,2164262,rendah,ya,ya,tidak,whatsapp,Jun,2,275,tidak,tidak_ada,0,1,existing
38,buruh,cerai,sd,3118793,rendah,tidak,tidak,tidak,email,Agu,3,22,tidak,tidak_ada,0,8,loyal
33,karyawan,menikah,sma,2675297,rendah,tidak,tidak,tidak,email,Apr,4,67,tidak,tidak_ada,0,3,existing
62,wiraswasta,lajang,s1,16050359,menengah,tidak,ya,tidak,whatsapp,Mei,4,51,tidak,tidak_ada,0,9,loyal
35,buruh,menikah,sma,3488151,rendah,ya,ya,tidak,whatsapp,Okt,2,476,tidak,tidak_ada,0,13,loyal
64,wiraswasta,lajang,s1,13240945,menengah,tidak,ya,ya,whatsapp,Okt,3,191,tidak,tidak_ada,0,1,existing
41,karyawan,menikah,d3,13755376,menengah,tidak,tidak,tidak,telepon,Mei,2,465,tidak,tidak_ada,0,0,baru
43,karyawan,menikah,s1,16525822,menengah,ya,tidak,tidak,whatsapp,Nov,4,208,tidak,tidak_ada,0,1,existing
42,wiraswasta,cerai,sd,34329864,menengah,ya,ya,tidak,whatsapp,Jan,3,205,tidak,tidak_ada,0,18,loyal
62,tidak_bekerja,menikah,sma,6974042,menengah,tidak,tidak,tidak,whatsapp,Apr,3,178,tidak,tidak_ada,0,1,existing
58,pns,menikah,sma,33683221,menengah,tidak,tidak,tidak,email,Mar,3,187,tidak,tidak_ada,0,16,loyal
46,karyawan,menikah,s1,30021193,menengah,ya,ya,tidak,telepon,Jul,5,415,tidak,tidak_ada,1,19,loyal
32,karyawan,menikah,d3,17619156,menengah,ya,tidak,tidak,whatsapp,Apr,2,372,tidak,tidak_ada,0,0,baru
62,buruh,menikah,sma,7222247,menengah,tidak,tidak,tidak,whatsapp,Agu,4,77,tidak,tidak_ada,0,7,loyal
18,buruh,lajang,smp,8822245,menengah,tidak,tidak,tidak,email,Mar,5,40,tidak,tidak_ada,0,10,loyal
42,wiraswasta,menikah,sma,41660783,menengah,ya,tidak,tidak,whatsapp,Des,3,685,tidak,tidak_ada,0,0,baru
24,pelajar,lajang,sma,690300,rendah,tidak,tidak,tidak,whatsapp,Okt,2,166,tidak,tidak_ada,0,7,loyal
26,karyawan,lajang,s1,10910328,menengah,ya,ya,tidak,email,Feb,3,128,tidak,tidak_ada,0,5,loyal
41,buruh,menikah,sma,1326607,rendah,tidak,tidak,tidak,email,Apr,5,43,tidak,tidak_ada,1,7,loyal
18,buruh,lajang,sma,975920,rendah,tidak,tidak,tidak,whatsapp,Sep,5,63,tidak,tidak_ada,0,7,loyal
61,karyawan,lajang,smp,11775585,menengah,tidak,tidak,tidak,telepon,Jul,1,386,tidak,tidak_ada,1,10,loyal
25,pns,cerai,sd,12548229,menengah,tidak,tidak,tidak,whatsapp,Mar,2,98,ya,gagal,0,1,existing
41,karyawan,menikah,sma,10418525,menengah,tidak,tidak,tidak,whatsapp,Apr,2,95,ya,gagal,0,20,loyal
28,karyawan,menikah,sma,2645112,rendah,tidak,ya,ya,whatsapp,Nov,7,124,tidak,tidak_ada,0,3,existing
34,karyawan,menikah,sma,28300766,menengah,ya,ya,tidak,telepon,Mar,3,195,tidak,tidak_ada,0,19,loyal
25,karyawan,menikah,d3,6657376,menengah,tidak,tidak,tidak,email,Apr,2,114,tidak,tidak_ada,0,10,loyal
52,karyawan,cerai,sd,26573040,menengah,ya,ya,ya,telepon,Jan,3,81,tidak,tidak_ada,0,10,loyal
52,wiraswasta,menikah,sma,11705056,menengah,tidak,ya,tidak,email,Jan,2,52,tidak,tidak_ada,0,16,loyal
50,wiraswasta,menikah,s1,13763547,menengah,tidak,tidak,tidak,whatsapp,Jun,4,69,tidak,tidak_ada,0,15,loyal
22,wiraswasta,lajang,sma,25149451,menengah,ya,tidak,tidak,email,Okt,3,105,tidak,tidak_ada,0,2,existing
59,karyawan,menikah,sma,13351132,menengah,tidak,ya,ya,email,Jul,1,254,ya,gagal,0,10,loyal
56,karyawan,menikah,sma,20725850,menengah,tidak,tidak,tidak,whatsapp,Sep,3,55,tidak,tidak_ada,0,6,loyal
58,wiraswasta,cerai,sma,32263592,menengah,ya,ya,tidak,whatsapp,Jan,2,173,tidak,tidak_ada,0,6,loyal
45,wiraswasta,lajang,smp,5161528,menengah,ya,ya,tidak,whatsapp,Agu,4,31,ya,gagal,0,0,baru
24,karyawan,lajang,,19078475,menengah,tidak,tidak,tidak,whatsapp,Sep,2,150,tidak,tidak_ada,0,7,loyal
26,buruh,lajang,smp,2214723,rendah,tidak,tidak,tidak,email,Okt,3,31,tidak,tidak_ada,0,1,existing
25,pns,menikah,s1,5715166,menengah,tidak,tidak,tidak,whatsapp,Jun,2,75,tidak,tidak_ada,0,3,existing
29,buruh,menikah,sma,2725500,rendah,tidak,tidak,tidak,telepon,Apr,1,96,ya,gagal,0,0,baru
51,wiraswasta,menikah,s1,51629557,tinggi,ya,tidak,tidak,whatsapp,Des,1,60,tidak,tidak_ada,1,5,loyal
50,karyawan,menikah,s1,3972212,rendah,tidak,ya,tidak,telepon,Mei,4,190,tidak,tidak_ada,0,16,loyal
40,pns,menikah,d3,28081015,menengah,ya,ya,tidak,whatsapp,Des,5,101,ya,gagal,0,12,loyal
41,karyawan,menikah,d3,20716759,menengah,ya,tidak,tidak,email,Jan,1,77,ya,gagal,0,0,baru
54,wiraswasta,lajang,sd,25360946,menengah,tidak,tidak,tidak,telepon,Jan,6,263,tidak,tidak_ada,0,10,loyal
52,karyawan,menikah,sma,21358877,menengah,ya,tidak,tidak,whatsapp,Des,4,323,ya,gagal,0,11,loyal
61,buruh,menikah,s1,5429968,menengah,tidak,tidak,tidak,whatsapp,Des,2,187,ya,gagal,0,12,loyal
57,karyawan,menikah,sd,33160959,menengah,tidak,tidak,tidak,whatsapp,Jan,2,107,tidak,tidak_ada,0,9,loyal
39,tidak_bekerja,lajang,sma,2268723,rendah,tidak,ya,ya,telepon,Mei,1,403,ya,gagal,0,0,baru
44,buruh,menikah,sd,1580739,rendah,tidak,tidak,tidak,whatsapp,Mei,8,123,tidak,tidak_ada,0,9,loyal
52,wiraswasta,menikah,sma,21375316,menengah,ya,ya,ya,telepon,Jul,1,458,ya,gagal,0,2,existing
18,pns,lajang,smp,23928705,menengah,tidak,tidak,tidak,email,Des,3,126,tidak,tidak_ada,1,8,loyal
52,wiraswasta,menikah,sma,37769326,menengah,ya,ya,tidak,whatsapp,Nov,1,76,ya,gagal,0,10,loyal
54,buruh,menikah,d3,27396033,menengah,tidak,tidak,tidak,whatsapp,Apr,4,116,tidak,tidak_ada,0,1,existing
64,wiraswasta,cerai,smp,20035314,menengah,tidak,tidak,tidak,whatsapp,Des,1,115,ya,gagal,1,6,loyal
31,buruh,menikah,s1,4394410,rendah,ya,ya,tidak,whatsapp,Okt,3,221,ya,gagal,0,2,existing
20,wiraswasta,lajang,sd,12549386,menengah,tidak,tidak,tidak,email,Okt,5,27,tidak,tidak_ada,1,13,loyal
18,tidak_bekerja,lajang,smp,1265305,rendah,tidak,tidak,tidak,telepon,Sep,4,412,tidak,tidak_ada,0,17,loyal
22,wiraswasta,lajang,sma,10155400,menengah,tidak,tidak,tidak,telepon,Agu,4,54,ya,gagal,0,7,loyal
43,wiraswasta,menikah,s1,7449896,menengah,tidak,tidak,tidak,whatsapp,Apr,2,238,tidak,tidak_ada,0,7,loyal
31,buruh,lajang,s1,797584,rendah,tidak,tidak,tidak,email,Sep,6,141,ya,gagal,0,0,baru
56,buruh,cerai,smp,4111330,rendah,ya,ya,tidak,whatsapp,Okt,1,232,tidak,tidak_ada,1,5,loyal
44,wiraswasta,menikah,smp,21786032,menengah,tidak,tidak,tidak,whatsapp,Agu,4,526,ya,gagal,0,1,existing
26,karyawan,menikah,s1,22485438,menengah,ya,ya,tidak,whatsapp,Jan,1,22,tidak,tidak_ada,0,10,loyal
32,wiraswasta,menikah,d3,10439006,menengah,tidak,ya,tidak,whatsapp,Nov,3,121,tidak,tidak_ada,0,18,loyal
32,tidak_bekerja,menikah,smp,1846985,rendah,tidak,ya,ya,telepon,Nov,4,271,ya,gagal,0,13,loyal
43,pns,menikah,sma,39314013,menengah,ya,tidak,tidak,whatsapp,Nov,3,73,tidak,tidak_ada,0,5,loyal
59,buruh,lajang,s1,2318440,rendah,tidak,ya,tidak,telepon,Mar,1,276,tidak,tidak_ada,0,9,loyal
30,karyawan,lajang,sd,11583324,menengah,tidak,ya,tidak,telepon,Mar,1,240,tidak,tidak_ada,0,20,loyal
49,wiraswasta,menikah,smp,58373402,tinggi,tidak,ya,tidak,whatsapp,Jul,4,415,tidak,tidak_ada,0,0,baru
56,pelajar,menikah,sma,1572831,rendah,tidak,tidak,tidak,telepon,Jul,3,391,tidak,tidak_ada,0,3,existing
49,buruh,menikah,d3,1791005,rendah,tidak,tidak,tidak,whatsapp,Jan,1,156,ya,gagal,0,0,baru
21,karyawan,lajang,smp,55330833,tinggi,tidak,tidak,tidak,telepon,Agu,5,124,tidak,tidak_ada,0,9,loyal
47,buruh,menikah,s1,11343365,menengah,tidak,tidak,tidak,email,Agu,4,100,tidak,tidak_ada,0,14,loyal
54,wiraswasta,lajang,s1,54014115,tinggi,tidak,tidak,tidak,whatsapp,Mei,2,98,tidak,tidak_ada,0,4,existing
40,karyawan,lajang,sma,13928219,menengah,tidak,tidak,tidak,telepon,Jul,3,178,ya,gagal,0,5,loyal
56,karyawan,menikah,smp,31642124,menengah,tidak,ya,tidak,email,Mar,4,284,tidak,tidak_ada,0,3,existing
62,karyawan,menikah,s2,1996977,rendah,tidak,ya,tidak,whatsapp,Nov,3,53,tidak,tidak_ada,0,7,loyal
32,wiraswasta,lajang,sma,11988058,menengah,ya,ya,ya,whatsapp,Okt,2,188,tidak,tidak_ada,0,1,existing
60,karyawan,menikah,sma,43283823,menengah,tidak,tidak,tidak,whatsapp,Okt,2,475,ya,gagal,0,2,existing
46,karyawan,menikah,s2,4583761,rendah,ya,ya,tidak,telepon,Sep,1,457,ya,gagal,0,0,baru
53,buruh,cerai,s1,4866876,rendah,tidak,ya,tidak,whatsapp,Apr,3,214,ya,gagal,0,1,existing
30,karyawan,menikah,sma,17889396,menengah,ya,ya,tidak,whatsapp,Mar,3,118,tidak,tidak_ada,0,14,loyal
49,karyawan,lajang,sma,8196904,menengah,tidak,tidak,tidak,whatsapp,Okt,3,157,tidak,tidak_ada,0,2,existing
24,wiraswasta,menikah,smp,16876567,menengah,tidak,tidak,tidak,whatsapp,Apr,2,150,tidak,tidak_ada,0,6,loyal
39,wiraswasta,menikah,s1,29630584,menengah,ya,ya,ya,whatsapp,Sep,5,225,tidak,tidak_ada,0,10,loyal
45,pns,menikah,s1,22419714,menengah,tidak,tidak,tidak,whatsapp,Mar,3,612,tidak,tidak_ada,1,2,existing
19,wiraswasta,menikah,sma,10463041,menengah,ya,ya,ya,whatsapp,Jun,4,144,tidak,tidak_ada,0,6,loyal
59,buruh,menikah,s1,3464580,rendah,tidak,tidak,tidak,email,Mei,3,81,tidak,tidak_ada,0,2,existing
62,wiraswasta,lajang,s1,37680229,menengah,tidak,ya,tidak,email,Mar,5,106,tidak,tidak_ada,0,16,loyal
23,karyawan,lajang,smp,16612946,menengah,ya,ya,tidak,whatsapp,Mei,3,142,tidak,tidak_ada,0,0,baru
45,karyawan,menikah,sma,20684549,menengah,tidak,tidak,tidak,telepon,Feb,2,461,ya,gagal,1,8,loyal
45,wiraswasta,menikah,sma,24115583,menengah,tidak,tidak,tidak,email,Nov,5,298,tidak,tidak_ada,1,15,loyal
61,wiraswasta,cerai,s1,35309831,menengah,tidak,tidak,tidak,whatsapp,Mei,4,131,tidak,tidak_ada,0,12,loyal
61,pns,menikah,smp,41495662,menengah,ya,ya,tidak,telepon,Agu,4,43,tidak,tidak_ada,1,2,existing
37,wiraswasta,cerai,d3,26852163,menengah,tidak,tidak,tidak,whatsapp,Jun,3,299,ya,gagal,0,7,loyal
47,wiraswasta,menikah,sma,24213854,menengah,ya,ya,tidak,telepon,Des,2,303,tidak,tidak_ada,1,0,baru
28,karyawan,menikah,sd,8141870,menengah,tidak,tidak,tidak,whatsapp,Agu,3,173,ya,gagal,0,3,existing
45,karyawan,menikah,smp,55459498,tinggi,tidak,tidak,tidak,whatsapp,Nov,4,125,tidak,tidak_ada,1,5,loyal
42,wiraswasta,menikah,d3,6775002,menengah,ya,ya,tidak,whatsapp,Nov,3,142,tidak,tidak_ada,0,0,baru
56,wiraswasta,menikah,sma,19592269,menengah,tidak,ya,tidak,whatsapp,Agu,3,134,ya,gagal,0,2,existing
50,wiraswasta,menikah,d3,13606973,menengah,tidak,tidak,tidak,email,Apr,3,64,tidak,tidak_ada,0,14,loyal
18,karyawan,lajang,sma,2202516,rendah,ya,ya,tidak,email,Des,2,150,tidak,tidak_ada,0,6,loyal
44,pns,menikah,d3,23123071,menengah,ya,ya,tidak,email,Sep,4,71,ya,gagal,0,17,loyal
30,buruh,menikah,sma,4195040,rendah,tidak,tidak,tidak,whatsapp,Des,4,236,tidak,tidak_ada,0,1,existing
58,karyawan,menikah,sma,18639920,menengah,tidak,ya,tidak,email,Mar,1,235,ya,berhasil,0,10,loyal
20,wiraswasta,lajang,smp,13252084,menengah,tidak,tidak,tidak,whatsapp,Apr,4,170,tidak,tidak_ada,0,12,loyal
56,tidak_bekerja,cerai,sma,7813663,menengah,tidak,ya,ya,email,Apr,3,108,tidak,tidak_ada,0,12,loyal
23,karyawan,lajang,d3,27065616,menengah,tidak,tidak,ya,whatsapp,Okt,1,259,tidak,tidak_ada,0,11,loyal
25,wiraswasta,cerai,d3,5644650,menengah,tidak,tidak,tidak,telepon,Feb,5,219,ya,gagal,0,2,existing
44,karyawan,lajang,smp,77214324,tinggi,tidak,tidak,tidak,telepon,Mar,3,309,ya,gagal,0,6,loyal
26,wiraswasta,menikah,d3,13531822,menengah,tidak,ya,tidak,whatsapp,Jun,3,75,tidak,tidak_ada,0,15,loyal
54,karyawan,menikah,smp,29597773,menengah,ya,ya,tidak,whatsapp,Nov,3,711,tidak,tidak_ada,0,8,loyal
50,tidak_bekerja,menikah,smp,4401471,rendah,tidak,tidak,tidak,telepon,Jun,2,339,tidak,tidak_ada,1,4,existing
59,pns,menikah,sma,21985970,menengah,tidak,tidak,tidak,telepon,Sep,2,828,tidak,tidak_ada,0,0,baru
61,buruh,menikah,sma,10691878,menengah,ya,ya,tidak,email,Jun,3,25,tidak,tidak_ada,0,8,loyal
41,pns,lajang,d3,48424177,menengah,ya,ya,tidak,telepon,Mei,2,73,ya,gagal,0,15,loyal
32,wiraswasta,menikah,s1,40377066,menengah,tidak,tidak,tidak,whatsapp,Nov,2,179,tidak,tidak_ada,0,2,existing
49,wiraswasta,lajang,smp,17571171,menengah,tidak,ya,tidak,telepon,Jan,2,195,tidak,tidak_ada,0,20,loyal
49,buruh,lajang,sma,5709928,menengah,ya,ya,tidak,email,Des,3,129,tidak,tidak_ada,0,2,existing
41,tidak_bekerja,lajang,s1,2050741,rendah,tidak,tidak,tidak,telepon,Mei,4,298,tidak,tidak_ada,0,8,loyal
58,wiraswasta,menikah,smp,49989268,menengah,tidak,tidak,tidak,whatsapp,Feb,3,316,ya,gagal,0,6,loyal
29,tidak_bekerja,menikah,sma,5027110,menengah,tidak,tidak,tidak,email,Jun,3,152,tidak,tidak_ada,0,12,loyal
56,wiraswasta,lajang,smp,17044159,menengah,tidak,tidak,tidak,whatsapp,Mar,3,11,tidak,tidak_ada,0,6,loyal
19,wiraswasta,lajang,d3,58856458,tinggi,ya,ya,ya,whatsapp,Nov,1,202,tidak,tidak_ada,0,4,existing
20,wiraswasta,lajang,d3,46375989,menengah,tidak,tidak,tidak,whatsapp,Sep,3,249,ya,gagal,0,18,loyal
54,karyawan,cerai,d3,90020030,tinggi,ya,ya,tidak,whatsapp,Agu,3,23,tidak,tidak_ada,0,8,loyal
34,karyawan,menikah,sma,6920295,menengah,ya,ya,ya,telepon,Feb,2,241,tidak,tidak_ada,1,0,baru
19,karyawan,lajang,d3,10574241,menengah,tidak,tidak,tidak,telepon,Mei,1,351,tidak,tidak_ada,0,5,loyal
19,wiraswasta,lajang,sd,12833815,menengah,tidak,tidak,tidak,whatsapp,Des,3,260,ya,gagal,0,6,loyal
45,wiraswasta,menikah,s1,290636905,tinggi,tidak,ya,tidak,whatsapp,Okt,6,141,tidak,tidak_ada,0,0,baru
40,wiraswasta,cerai,smp,20576261,menengah,ya,ya,tidak,telepon,Agu,1,430,ya,gagal,0,10,loyal
54,tidak_bekerja,menikah,smp,12152458,menengah,ya,tidak,tidak,email,Jun,2,35,tidak,tidak_ada,0,6,loyal
49,karyawan,menikah,s1,42135748,menengah,tidak,tidak,tidak,whatsapp,Okt,4,108,tidak,tidak_ada,1,1,existing
50,wiraswasta,menikah,s1,20815791,menengah,ya,tidak,tidak,telepon,Des,2,334,tidak,tidak_ada,0,4,existing
18,karyawan,lajang,s1,11988564,menengah,tidak,ya,tidak,email,Okt,4,146,tidak,tidak_ada,1,6,loyal
